instnm,lon,lat,expk,earmark
American University,-77.09010600000001,38.937802,630,0
Arizona State University-Tempe,-111.934629,33.422247,439.98,0
Auburn University,-85.482782,32.604685,990,22.5895
Augusta University,-81.988361,33.47145,0,0
Ball State University,-85.408863,40.198942,260,1.2
Baylor University,-97.11935899999999,31.545956,1181.25,2.998514
Boston College,-71.171488,42.337688,570,3.36275
Boston University,-71.09984,42.349581,3120,12.524
Bowling Green State University-Main Campus,-83.637531,41.377036,240,3.0575
Brandeis University,-71.254716,42.364947,430,.669
Brigham Young University-Provo,-111.649281,40.250851,50,.357
Brown University,-71.404467,41.827605,348.53,1.0675
CUNY Graduate School and University Center,-73.983575,40.748503,0,0
California Institute of Technology,-118.12574,34.139275,560,0
Carnegie Mellon University,-79.942914,40.444616,1230,8.512513999999999
Case Western Reserve University,-81.605769,41.500812,2432.742,.081
Catholic University of America,-76.99896099999999,38.935796,40,0
Central Michigan University,-84.77527499999999,43.591137,0,0
Claremont Graduate University,-117.712394,34.103778,0,0
Clark Atlanta University,-84.412818,33.748772,20,.428
Clemson University,-82.834463,34.677329,1567.595,8.59375
Cleveland State University,-81.673052,41.502918,340,.2
College of William and Mary,-76.709417,37.271997,0,0
Colorado School of Mines,-105.227148,39.75079,0,2.622
Colorado State University-Fort Collins,-105.08083,40.574759,720,10.052715
Columbia University in the City of New York,-73.961885,40.808286,1187.123,8.199999999999999
Cornell University,-76.48348900000001,42.447199,1168,.918333
Dartmouth College,-72.289951,43.70408,0,.572
Drexel University,-75.188745,39.954855,1918.641,2.499
Duke University,-78.94226,36.00159,1332.417,0
Duquesne University,-79.99304600000001,40.437496,140,.841
East Carolina University,-77.36619899999999,35.606347,390,3.786
Emory University,-84.325782,33.798836,625,0
Florida Agricultural and Mechanical University,-84.285644,30.428554,170,8.799982
Florida Atlantic University,-80.102293,26.372536,390,12.107196
Florida Institute of Technology,-80.624628,28.064503,0,3.861750000000001
Florida International University,-80.377591,25.757111,1278,5.238
Florida State University,-84.29480100000001,30.4421,2427,15.8
Fordham University,-73.889578,40.861183,0,.6889999999999999
George Mason University,-77.30794,38.83088,480,5.92925
George Washington University,-77.047871,38.89865,10,0
Georgetown University,-77.073463,38.908809,1090.4,2
Georgia Institute of Technology-Main Campus,-84.396019,33.773732,0,13.8
Georgia State University,-84.38667,33.7527,350,1.57
Harvard University,-71.118177,42.374429,3005,.2
Howard University,-77.01947800000001,38.920739,0,.0525
Illinois Institute of Technology,-87.62834600000001,41.833801,0,5.121514
Illinois State University,-88.99234,40.509724,257.5,2.71275
Indiana University-Bloomington,-86.526904,39.166383,0,14.138737
Indiana University-Purdue University-Indianapolis,-86.172217,39.772948,0,2.7
Iowa State University,-93.648353,42.026368,653.362,31.1565
Jackson State University,-90.20663,32.296781,370,18.02
Johns Hopkins University,-76.62079900000001,39.32838,3684,2.0176
Kansas State University,-96.58107699999999,39.188616,0,18.847625
Kent State University at Kent,-81.342253,41.146856,688.899,1.102
Lehigh University,-75.37888700000001,40.607158,240,3.245
Louisiana State University and Agricultural & Mechanical College,-91.178921,30.414983,585,10.51971
Loyola University Chicago,-87.657399,41.999161,280,3.8
Marquette University,-87.927961,43.03903,380,5.29675
Massachusetts Institute of Technology,-71.09211500000001,42.360095,0,0
Miami University-Oxford,-84.731821,39.509642,767.7,.381
Michigan State University,-84.476111,42.73212,1300,9.855589999999999
Michigan Technological University,-88.546403,47.1183,135,3.63
Mississippi State University,-88.788979,33.454809,600,70.40358999999999
Missouri University of Science and Technology,-91.77589999999999,37.955853,0,16.892
Montana State University,-111.049918,45.666829,850,5.4859
New Jersey Institute of Technology,-74.17711300000001,40.741997,0,16.8179
New Mexico State University-Main Campus,-106.747841,32.282875,350,32.877
New York University,-73.997264,40.729452,1703.465,3.309
North Carolina A & T State University,-79.770152,36.076737,0,2.908
North Carolina State University at Raleigh,-78.67451699999999,35.785111,560,10.12509
North Dakota State University-Main Campus,-96.80568899999999,46.894523,580,51.47833200000001
Northeastern University,-71.08878199999999,42.339992,1380,.8
Northern Arizona University,-111.657653,35.180095,1000,3.728
Northern Illinois University,-88.76606499999998,41.933791,313,9.023
Northwestern University,-87.673653,42.058377,3357,5.830014
Nova Southeastern University,-80.24248,26.079337,830,1.271
Ohio State University-Main Campus,-83.009001,39.998389,1366.101,9.929600000000001
Ohio University-Main Campus,-82.10106399999999,39.326799,530,5.8535
Oklahoma State University-Main Campus,-97.069743,36.123085,780,17.1875
Old Dominion University,-76.309653,36.884919,110,2
Oregon State University,-123.274721,44.56274,590,5.243333
Pennsylvania State University-Main Campus,-77.861644,40.800732,2060,29.3
Princeton University,-74.66360299999999,40.34853,1140,0
Purdue University-Main Campus,-86.91443499999998,40.428206,2614,6.002
Rensselaer Polytechnic Institute,-73.67876800000001,42.728983,0,0
Rice University,-95.40362499999999,29.716485,1002.85,10.79
Rutgers University-New Brunswick,-74.45050999999999,40.503796,1460,5.30105
Rutgers University-Newark,-74.17529399999999,40.741303,0,0
SUNY at Albany,-73.825014,42.686917,0,1.5
SUNY at Binghamton,-75.971143,42.088049,0,6.5
Saint Louis University,-90.23343,38.636516,747.247,0
San Diego State University,-117.071228,32.77525,500,5
South Dakota State University,-96.78341500000001,44.31942,350,18.08625
Southern Illinois University-Carbondale,-89.21872399999999,37.713239,182.5,2.072
